sgRNA	Gene	HL60.initial	KBM7.initial	HL60.final	KBM7.final
ABCB8_p150725612	ABCB8	362.0046500213138	184.3626153661062	719.4570410116204	399.0280746129058
ABCB8_p150725675	ABCB8	925.9242442776234	734.0044312706658	631.9555089966935	1494.1708195359174
ABCB8_p150730680	ABCB8	758.6232904829126	828.7702615990382	655.9374103637476	645.4351922205834
ABCB8_p150730705	ABCB8	1071.591454047156	899.4138805710976	907.4232949696113	1226.2103606717762
ABCB8_p150730712	ABCB8	245.18243228535198	370.4482458290919	647.5113369104583	584.852827607821
ABCC1_m16043636	ABCC1	69.22798088056997	358.3871401509354	364.9137964770651	475.9210758521811
ABCC1_m16043645	ABCC1	1579.2633138380024	949.381318380603	829.6441554007874	1044.4632668334893
ABCC1_m16101705	ABCC1	1259.0839022653663	1021.7479524495419	855.570535257062	800.3862401724564
ABCC1_m16101777	ABCC1	686.5108103989855	706.4361897205939	963.8131711570086	650.677896850534
ABCC1_m16101788	ABCC1	653.3390695603791	510.0124686763312	488.7122602907764	499.22198531862813
ABCC1_m16101799	ABCC1	716.798052034235	880.4607145054231	504.916247700948	595.9207596043834
ABCC1_p16043597	ABCC1	301.4301667508151	399.73950247604336	313.70919626092274	338.4457100001435
ABCC1_p16101667	ABCC1	314.41041316592197	241.22211356312962	254.07852259149115	404.8533019795176
ABCC1_p16101710	ABCC1	51.920985660427476	25.84522645319246	209.35551733941747	228.34891277118115
ABCC1_p16101721	ABCC1	1452.3453488902908	1178.542326265576	906.7751354732044	1596.6948211882845
ABCF1_m30539291	ABCF1	212.01069144674554	280.8514607913581	197.6886464040939	507.3773036318846
ABCF1_p30539251	ABCF1	1106.2054444874411	1163.0351903936607	381.7659433836436	376.8922106197811
ABCF1_p30539272	ABCF1	1090.3406988689771	1007.9638316745059	974.1837230995184	939.0266514978164
ABCF1_p30545181	ABCF1	1142.2616845294046	1168.2042356842992	1733.1784933919575	2126.7905115499548
ABCF1_p30545587	ABCF1	47.594236855391856	241.22211356312962	683.8082687092428	253.3973904476117
ABCF1_p30545605	ABCF1	491.8071141723825	375.6172911197304	448.5263715135507	320.387505163647
ABCF1_p30545610	ABCF1	1938.3834646559592	1743.6912780420512	1672.899660226119	1313.0062484342916
ABCF1_p30545638	ABCF1	209.12619224338846	365.27920053845344	415.4702371968006	491.6491897420329
ABCF1_p30545878	ABCF1	1974.4397046979227	1929.776908505037	1093.4450704383817	439.8046661791882
ABCF1_p30545888	ABCF1	259.6049283021374	342.88000427901994	454.3598069812125	195.1451167814941
ABHD14B_m52004073	ABHD14B	464.40437174049026	329.095883503984	399.266249786629	318.0574142170023
ABHD14B_m52004106	ABHD14B	438.4438789102765	382.50935150724837	533.4352655428501	346.6010283133999
ABHD14B_m52004113	ABHD14B	568.2463430613452	632.3465405547755	952.146300221685	527.1830766783646
ABHD14B_m52004122	ABHD14B	1759.5445140478203	1781.5976101734002	1010.4806548983029	1325.2392259041762
ABHD14B_p52004005	ABHD14B	183.1656994131747	403.18553266980234	342.87637359923167	481.1637804821317
ABHD14B_p52004011	ABHD14B	491.8071141723825	616.83940468286	687.0490661912771	814.9493085889858
ABHD14B_p52004019	ABHD14B	40.382988846999154	275.68241550071957	173.70674503703987	264.4653224441741
ABHD14B_p52004061	ABHD14B	382.1961444448134	587.5481480359085	387.5993788513054	188.73736667822115
ABHD14B_p52004076	ABHD14B	2040.7831863751358	1829.8420328860261	2129.8521051929592	1652.034481171096
ABHD14B_p52004124	ABHD14B	842.273767380268	940.7662428962055	812.792008494209	1158.0552004824187
ABI1_m27149710	ABI1	624.4940775268083	1156.1431300061427	742.1426233858607	334.3680508435152
ABI1_m27149743	ABI1	1386.001867213078	682.313978364281	830.9404743936012	981.5508112740822
ABI1_m27149751	ABI1	1210.047415808296	842.5543823740742	740.1981448966401	541.1636223582328
ABI1_m27149764	ABI1	200.47269463331722	322.20382311646597	208.70735784301058	273.7856862307529
ABI1_p27112164	ABI1	1677.3362867521432	1605.8500702916915	1254.1886255472841	1379.4138404136656
ABI1_p27112174	ABI1	1456.6720976953266	1275.031171690828	2182.3530244019153	1431.8408867131716
ABI1_p27112180	ABI1	447.0973765203477	368.7252307322124	344.8208520884523	388.5426653530046
ABI1_p27149695	ABI1	227.8754370652095	74.08964916581839	156.85459813046137	188.73736667822115
ABI1_p27149701	ABI1	685.068560797307	756.4036275300994	1840.1248102990903	1053.2011078834068
ABI1_p27149733	ABI1	121.14896654099745	456.59900067306677	256.02300108071177	202.7179123580894
ABL1_m133729449	ABL1	588.4378374848447	363.5561854415739	1422.0619351166622	612.2313962308964
ABL1_m133729456	ABL1	1123.5124397075836	956.273378768121	1226.9659266981957	487.5715305854046
ABL1_m133729467	ABL1	966.3072331246225	773.6337784988942	1364.3757399364513	401.3581655595505
ABL1_m133729488	ABL1	610.0715815100228	632.3465405547755	707.14201057989	36.11640967299294
ABL1_m133729532	ABL1	1374.4638703996497	1421.4874549255853	2234.205784114464	1430.6758412398492
ABL1_m133729594	ABL1	765.8345384913054	487.61327241689776	1167.9834125251712	79.80561492258116
ABL1_p133729441	ABL1	618.7250791200942	404.90854776668186	508.8052046793892	286.0186637006376
