id	Score	FDR	LogFDR	EntrezID	Symbol	HumanGene
ARAP1	0.13238	0.999995	2.1714778382296e-06	116985	ARAP1	ARAP1
BECN1	0.22409	0.913341	0.0393670463769532	8678	BECN1	BECN1
C9orf50	-0.096284	0.999965	1.52005728781941e-05	375759	C9orf50	C9orf50
ATF3	-0.17526	0.999965	1.52005728781941e-05	467	ATF3	ATF3
ADAMTS5	-0.067721	0.999965	1.52005728781941e-05	11096	ADAMTS5	ADAMTS5
ATF2	0.047561	0.999995	2.1714778382296e-06	1386	ATF2	ATF2
BCL2L13	0.20956	0.948722	0.0228610284086493	23786	BCL2L13	BCL2L13
ATP1B4	0.11229	0.754702	0.122224499103854	23439	ATP1B4	ATP1B4
AMOT	-0.042677	0.999965	1.52005728781941e-05	154796	AMOT	AMOT
APOBEC3B	0.025016	0.999995	2.1714778382296e-06	9582	APOBEC3B	APOBEC3B
CAMK2G	0.091064	0.999995	2.1714778382296e-06	818	CAMK2G	CAMK2G
BOD1	0.22328	0.88567	0.0527280657829843	91272	BOD1	BOD1
CAB39L	-0.11752	0.999965	1.52005728781941e-05	81617	CAB39L	CAB39L
CCDC111	-0.055154	0.999965	1.52005728781941e-05	201973	CCDC111	CCDC111
APOBEC3H	0.11494	0.982282	0.00776381418625162	164668	APOBEC3H	APOBEC3H
BTF3	-0.088758	0.999965	1.52005728781941e-05	689	BTF3	BTF3
ADAM10	-0.12842	0.999965	1.52005728781941e-05	102	ADAM10	ADAM10
